City,Location,Project Name,Property Title,Property Type,Unit Type,Area,Price (₹),Agent Name,Property Link
Pune,"Dhayari, Pune",BK Chavan Ramkrushna Park,1 BHK 450 Sq.Ft. Apartment in BK Chavan Ramkrushna Park,Apartment,1 BHK,Dhayari,4370712,VIJAY INDIA PROPERTY ,https://www.squareyards.com/resale-1-bhk-450-sq-ft-apartment-in-bk-chavan-ramkrushna-park/9322744
Pune,"Bavdhan, Pune",Grace Apartment Bavdhan,2 BHK 630 Sq.Ft. Apartment in Grace Apartment Bavdhan,Apartment,2 BHK,Bavdhan,7800000,Pawan Hira Raste ,https://www.squareyards.com/resale-2-bhk-630-sq-ft-apartment-in-grace-apartment-bavdhan/9295012
Pune,"Mundhwa, Pune",Alcon Silverleaf,2 BHK 975 Sq.Ft. Apartment in Alcon Silverleaf,Apartment,2 BHK,Mundhwa,9000000,Ashish ,https://www.squareyards.com/resale-2-bhk-975-sq-ft-apartment-in-alcon-silverleaf/9156445
,"Hinjewadi, Pune",,,,,,,,
Pune,"Nibm Road, Pune",Ekta California,5 BHK + Servant Room 2800 Sq.Ft. Apartment in Ekta California,Apartment,5 BHK,Nibm Road,26500000,Abbas Sunelwala ,https://www.squareyards.com/resale-5-bhk-servant-room-2800-sq-ft-apartment-in-ekta-california/9303782
Pune,"Mamurdi, Pune",Little Earth Apartments,2 BHK 569 Sq.Ft. Apartment in Little Earth Apartments,Apartment,2 BHK,Mamurdi,7169000,Sanjay Jadhav ,https://www.squareyards.com/resale-2-bhk-569-sq-ft-apartment-in-little-earth-apartments/9374722
Pune,"Aundh, Pune",,3.5 BHK + Extra Room 1350 Sq.Ft. Apartment in Aundh ,Apartment,3.5 BHK,Aundh,23800000,Rafik salim Shaikh ,https://www.squareyards.com/resale-3-5-bhk-extra-room-1350-sq-ft-apartment-in-aundh/9147758
Pune,"Alandi Road, Pune",Expat Genesis,3 BHK 1441 Sq.Ft. Apartment in Expat Genesis,Apartment,3 BHK,Alandi Road,11800000,Prashant Karnawat ,https://www.squareyards.com/resale-3-bhk-1441-sq-ft-apartment-in-expat-genesis/9113498
,"Koregaon Park, Pune",,,,,,,,
Pune,"Vadgaon Budruk, Pune",Venkatesh Skylife,3 BHK + Pooja Room 1220 Sq.Ft. Apartment in Venkatesh Skylife,Apartment,3 BHK,Vadgaon Budruk,18802322,Rohan Shivaji Shinde ,https://www.squareyards.com/resale-3-bhk-pooja-room-1220-sq-ft-apartment-in-venkatesh-skylife/8976073
