,City,Project Name,Property Type,Locality,BHK,Area_SqFt_Number,Area_per_SqFt_Price,Affordability,Price_in_Lakh,City_Project
531,Gurgaon,Unitech Heritage City,Apartment,Sector 25,4,3890,22108,Luxury,860,Gurgaon - Unitech Heritage City
532,Gurgaon,Bestech Park View Sanskruti,Apartment,Sector 92,3,2120,11792,Highly Affordable,250,Gurgaon - Bestech Park View Sanskruti
533,Gurgaon,Signature Global Proxima Phase 2,Apartment,Sector 89,2,685,9927,Highly Affordable,68,Gurgaon - Signature Global Proxima Phase 2
534,Gurgaon,Central Park 3 Flower Valley,Builder Floor,Sohna Sector 33,5,1093,15096,Highly Affordable,165,Gurgaon - Central Park 3 Flower Valley
535,Gurgaon,Indiabulls Centrum Park,Apartment,Sector 103,4,2875,10435,Moderately Affordable,300,Gurgaon - Indiabulls Centrum Park
536,Gurgaon,Hero Homes Gurgaon,Apartment,Sector 104,2,1099,14968,Highly Affordable,164,Gurgaon - Hero Homes Gurgaon
537,Gurgaon,Signature Global Park,Apartment,Sohna Sector 36,5,1210,11157,Highly Affordable,135,Gurgaon - Signature Global Park
538,Gurgaon,Signature Global Imperial,Apartment,Sector 88a,3,744,10988,Highly Affordable,81,Gurgaon - Signature Global Imperial
539,Gurgaon,JMS Group Silver Living,Apartment,Sector 95,5,1160,15517,Highly Affordable,180,Gurgaon - JMS Group Silver Living
540,Gurgaon,Signature The Millennia 3,Apartment,Sector 37d,2,687,9461,Highly Affordable,65,Gurgaon - Signature The Millennia 3
541,Gurgaon,Vatika Xpressions,Builder Floor,Sector 88b,2,1350,12593,Highly Affordable,170,Gurgaon - Vatika Xpressions
542,Gurgaon,Tulip Yellow,Apartment,Sector 69,3,1704,12617,Highly Affordable,215,Gurgaon - Tulip Yellow
543,Gurgaon,Tata Gurgaon Gateway,Apartment,Sector 112,3,2215,14221,Moderately Affordable,315,Gurgaon - Tata Gurgaon Gateway
544,Gurgaon,DLF Express Greens,Apartment,Manesar Sector 1a,3,1958,7406,Highly Affordable,145,Gurgaon - DLF Express Greens
545,Gurgaon,Unitech The Residences Gurgaon,Apartment,Sector 33,3,1505,17276,Moderately Affordable,260,Gurgaon - Unitech The Residences Gurgaon
546,Gurgaon,Apex Our Homes,Apartment,Sector 37c,2,580,10983,Highly Affordable,63,Gurgaon - Apex Our Homes
547,Gurgaon,Ireo The Corridors,Apartment,Ramgarh Dhani,2,1296,18133,Highly Affordable,235,Gurgaon - Ireo The Corridors
548,Gurgaon,SS 100,Builder Floor,Sector 49,4,2520,13294,Moderately Affordable,335,Gurgaon - SS 100
549,Gurgaon,Raheja Atlantis II,Apartment,Sector 32a,4,3000,18333,Moderately Affordable,550,Gurgaon - Raheja Atlantis II
550,Gurgaon,Signature Global Park,Apartment,Sohna Sector 36,2,822,9732,Highly Affordable,80,Gurgaon - Signature Global Park
551,Gurgaon,Mapsko Mount Ville,Apartment,Sector 79,4,2650,13585,Moderately Affordable,360,Gurgaon - Mapsko Mount Ville
552,Gurgaon,Kohli One Malibu Town,Builder Floor,Sector 47,4,2700,15926,Moderately Affordable,430,Gurgaon - Kohli One Malibu Town
553,Gurgaon,Tulip Monsella,Apartment,Sector 53,3,2874,32985,Luxury,948,Gurgaon - Tulip Monsella
554,Gurgaon,JMS The Nation,Builder Floor,Sector 95,3,1350,10444,Highly Affordable,141,Gurgaon - JMS The Nation
555,Gurgaon,4S Aradhya Extension,Builder Floor,Sector 67a,3,1490,14765,Highly Affordable,220,Gurgaon - 4S Aradhya Extension
556,Gurgaon,Emaar Imperial Gardens,Apartment,Sector 102,3,2000,12500,Highly Affordable,250,Gurgaon - Emaar Imperial Gardens
557,Gurgaon,Grace Resilviaa,Builder Floor,Sector 78,3,1587,12975,Highly Affordable,205,Gurgaon - Grace Resilviaa
558,Gurgaon,Professors Enclave,Apartment,Sector 56,5,2450,11429,Moderately Affordable,280,Gurgaon - Professors Enclave
559,Gurgaon,Vatika City Homes,Apartment,Sector 83,3,1740,9483,Highly Affordable,165,Gurgaon - Vatika City Homes
560,Gurgaon,Pyramid Heights,Apartment,Badha,2,698,10029,Highly Affordable,70,Gurgaon - Pyramid Heights
561,Gurgaon,M3M Skywalk,Apartment,Sector 74,2,1450,17586,Moderately Affordable,255,Gurgaon - M3M Skywalk
562,Gurgaon,BPTP Freedom Park Life,Apartment,Sector 57,5,2293,14828,Moderately Affordable,340,Gurgaon - BPTP Freedom Park Life
563,Gurgaon,Assotech Blith,Apartment,Sector 99,4,2835,9877,Moderately Affordable,280,Gurgaon - Assotech Blith
564,Gurgaon,Signature Global City 92,Builder Floor,Sector 92,5,1200,8833,Highly Affordable,106,Gurgaon - Signature Global City 92
565,Gurgaon,Central Park II-Bellevue,Apartment,Sector 48,3,2350,15532,Moderately Affordable,365,Gurgaon - Central Park II-Bellevue
566,Gurgaon,M3M Merlin,Apartment,Sector 67,3,2377,14649,Moderately Affordable,348,Gurgaon - M3M Merlin
567,Gurgaon,M3M Sky City,Apartment,Sector 65,3,2054,19500,Moderately Affordable,400,Gurgaon - M3M Sky City
568,Gurgaon,Unitech Arcadia,Independent House,South City 2,3,2000,14500,Moderately Affordable,290,Gurgaon - Unitech Arcadia
569,Gurgaon,Dhoot Time Residency,Apartment,Sector 63,3,1717,18055,Moderately Affordable,310,Gurgaon - Dhoot Time Residency
570,Gurgaon,Pareena Bellevue Floors,Builder Floor,Sector 95a,5,1300,8846,Highly Affordable,115,Gurgaon - Pareena Bellevue Floors
571,Gurgaon,Unitech Fresco,Apartment,Sector 50,3,1629,15347,Highly Affordable,250,Gurgaon - Unitech Fresco
572,Gurgaon,ATS Kocoon,Apartment,Sector 109,5,1745,14040,Highly Affordable,245,Gurgaon - ATS Kocoon
573,Gurgaon,Reach 3 Roads,Builder Floor,Sector 70,3,1550,12903,Highly Affordable,200,Gurgaon - Reach 3 Roads
574,Gurgaon,Assotech Blith,Apartment,Sector 99,5,2400,10000,Highly Affordable,240,Gurgaon - Assotech Blith
575,Gurgaon,Smart World Orchard,Apartment,Sector 61,3,1963,15996,Moderately Affordable,314,Gurgaon - Smart World Orchard
