,City,Location,Project Name,Property Title,Property Type,Locality,Price,BHK,Area_SqFt_Number,Area_per_SqFt_Price
47,Pune,"Bhoirwadi, Pune",VTP Belair,"3 BHK + Pooja Room,Servant Room,Study Room,Extra Room 962 Sq.Ft. Apartment in VTP Belair",Apartment,Bhoirwadi,10000000,3,962,10395.0
48,Pune,"Kalyani Nagar, Pune",Dugad Panache,2 BHK + Extra Room 931 Sq.Ft. Apartment in Dugad Panache,Apartment,Kalyani Nagar,17500000,2,931,18797.0
49,Pune,"Mundhwa, Pune",Magarpatta Nova Residency,2.5 BHK + Servant Room 960 Sq.Ft. Apartment in Magarpatta Nova Residency,Apartment,Mundhwa,10000000,5,960,10417.0
50,Pune,"Baner, Pune",BD Blossom,2 BHK + Pooja Room 950 Sq.Ft. Apartment in BD Blossom,Apartment,Baner,9500000,2,950,10000.0
51,Pune,"Dhanori, Pune",Organic Dhanorina,2.5 BHK + Extra Room 1140 Sq.Ft. Apartment in Organic Dhanorina,Apartment,Dhanori,7500000,5,1140,6579.0
52,Pune,"Wagholi, Pune",Pristine Meadows,2 BHK 1050 Sq.Ft. Apartment in Pristine Meadows,Apartment,Wagholi,5700000,2,1050,5429.0
53,Pune,"Pimple Saudagar, Pune",SSD Sai Dreams,2.5 BHK 1250 Sq.Ft. Apartment in SSD Sai Dreams,Apartment,Pimple Saudagar,12800000,5,1250,10240.0
54,Pune,"Fatima Nagar, Pune",Kumar Kunj,2.5 BHK 1420 Sq.Ft. Apartment in Kumar Kunj,Apartment,Fatima Nagar,9000000,5,1420,6338.0
55,Pune,"Kothrud, Pune",Pethkar Samrajya,3 BHK 1500 Sq.Ft. Apartment in Pethkar Samrajya,Apartment,Kothrud,27500000,3,1500,18333.0
56,Pune,"Lonavala, Pune",Puranik Sayama,3 BHK + Servant Room 1700 Sq.Ft. Apartment in Puranik Sayama,Apartment,Lonavala,25000000,3,1700,14706.0
57,Pune,"Kiwale, Pune",Legacy Imperial,2 BHK 639 Sq.Ft. Apartment in Legacy Imperial,Apartment,Kiwale,8500000,2,639,13302.0
58,Pune,"Baner Pashan Link Road, Pune",Amar Serenity,4 BHK + Extra Room 2500 Sq.Ft. Apartment in Amar Serenity,Apartment,Baner Pashan Link Road,26000000,4,2500,10400.0
59,Pune,"Mundhwa, Pune",Osian Almanova,3 BHK + Pooja Room 1058 Sq.Ft. Apartment in Osian Almanova,Apartment,Mundhwa,14000000,3,1058,13233.0
60,Pune,"Pimpri, Pune",Mahindra Royale,2 BHK 1200 Sq.Ft. Apartment in Mahindra Royale,Apartment,Pimpri,15000000,2,1200,12500.0
61,Pune,"Kharadi, Pune",VTP Urban Soul,2 BHK 750 Sq.Ft. Apartment in VTP Urban Soul,Apartment,Kharadi,8800000,2,750,11733.0
62,Pune,"Erandwane, Pune",Sankul Apartments,3 BHK + Pooja Room 1650 Sq.Ft. Apartment in Sankul Apartments,Apartment,Erandwane,29000000,3,1650,17576.0
63,Pune,"Bavdhan, Pune",Gera Isle Royale,"3.5 BHK + Pooja Room,Servant Room 2075 Sq.Ft. Apartment in Gera Isle Royale",Apartment,Bavdhan,31000000,5,2075,14940.0
64,Pune,"Kondhwa Budruk, Pune",Tribute Ultima Grandeur,3 BHK 1315 Sq.Ft. Apartment in Tribute Ultima Grandeur,Apartment,Kondhwa Budruk,16200000,3,1315,12319.0
65,Pune,"Wakad, Pune",Malpani Greens,2 BHK + Pooja Room 1206 Sq.Ft. Apartment in Malpani Greens,Apartment,Wakad,12500000,2,1206,10365.0
66,Pune,"Rahatani, Pune",Vidya Kaka Homes,1.5 BHK 595 Sq.Ft. Apartment in Vidya Kaka Homes,Apartment,Rahatani,6300000,5,595,10588.0
67,Pune,"Pimple Nilakh, Pune",Kolte Patil 24K Atria,"6 BHK + Pooja Room,Servant Room 100000 Sq.Ft. Penthouse in Kolte Patil 24K Atria",Penthouse,Pimple Nilakh,100000000,6,0,inf
68,Pune,"Kharadi, Pune",Goel Ganga Constella,2 BHK + Pooja Room 775 Sq.Ft. Apartment in Goel Ganga Constella,Apartment,Kharadi,9200000,2,775,11871.0
69,Pune,"Kothrud, Pune",Lodha Palais,4 BHK + Extra Room 2023 Sq.Ft. Apartment in Lodha Palais,Apartment,Kothrud,55000000,4,2023,27187.0
70,Pune,"Narhe, Pune",Suvidha Ambar,1 BHK 550 Sq.Ft. Apartment in Suvidha Ambar,Apartment,Narhe,3600000,1,550,6545.0
71,Pune,"Hinjewadi, Pune",Kolte Patil Life Republic,2 BHK + Pooja Room 801 Sq.Ft. Apartment in Kolte Patil Life Republic,Apartment,Hinjewadi,7700000,2,801,9613.0
72,Pune,"Hinjewadi, Pune",Pride Purple Park Astra,3 BHK + Pooja Room 722 Sq.Ft. Apartment in Pride Purple Park Astra,Apartment,Hinjewadi,18200000,3,722,25208.0
73,Pune,"Bibwewadi, Pune",Kohinoor Jeeva,2 BHK + Pooja Room 787 Sq.Ft. Builder Floor in Kohinoor Jeeva,Builder Floor,Bibwewadi,10900000,2,787,13850.0
74,Pune,"Wakad, Pune",Jhamtani Ace Almighty Phase II,2 BHK 1050 Sq.Ft. Apartment in Jhamtani Ace Almighty Phase II,Apartment,Wakad,8200000,2,1050,7810.0
75,Pune,"Kalyani Nagar, Pune",Bramhacorp The Collection,2 BHK 1105 Sq.Ft. Apartment in Bramhacorp The Collection,Apartment,Kalyani Nagar,13000000,2,1105,11765.0
76,Pune,"Kharadi, Pune",Kumar Periwinkle,2 BHK 779 Sq.Ft. Apartment in Kumar Periwinkle,Apartment,Kharadi,8800000,2,779,11297.0
77,Pune,"Kondhwa Budruk, Pune",Mahaveer Park,2 BHK + Pooja Room 1127 Sq.Ft. Apartment in Mahaveer Park,Apartment,Kondhwa Budruk,15000000,2,1127,13310.0
78,Pune,"Dehu Road, Pune",Shivkailas Kute Fortune,2 BHK 805 Sq.Ft. Apartment in Shivkailas Kute Fortune,Apartment,Dehu Road,6300000,2,805,7826.0
79,Pune,"Sinhagad Road, Pune",DSK Meghmalhar Phase I,2 BHK 972 Sq.Ft. Apartment in DSK Meghmalhar Phase I,Apartment,Sinhagad Road,6450000,2,972,6636.0
80,Pune,"Wakad, Pune",Sukhwani Skylines,2 BHK 756 Sq.Ft. Apartment in Sukhwani Skylines,Apartment,Wakad,9000000,2,756,11905.0
81,Pune,"Wakad, Pune",SRK Platinum,2 BHK + Pooja Room 792 Sq.Ft. Apartment in SRK Platinum,Apartment,Wakad,8000000,2,792,10101.0
82,Pune,"Kalyani Nagar, Pune",Nirman Adi,3 BHK 994 Sq.Ft. Apartment in Nirman Adi,Apartment,Kalyani Nagar,0,3,994,0.0
83,Pune,"Sinhagad Road, Pune",Darode Jog Crossover County,2 BHK 1050 Sq.Ft. Apartment in Darode Jog Crossover County,Apartment,Sinhagad Road,11000000,2,1050,10476.0
84,Pune,"Narhe, Pune",Vilas Javdekar Yashwin Royal,2 BHK + Servant Room 1008 Sq.Ft. Apartment in Vilas Javdekar Yashwin Royal,Apartment,Narhe,6700000,2,1008,6647.0
85,Pune,"Kothrud, Pune",Anuj Apartment Kothrud,2.5 BHK + Study Room 1030 Sq.Ft. Apartment in Anuj Apartment Kothrud,Apartment,Kothrud,16300000,5,1030,15825.0
86,Pune,"Pradhikaran, Pune",Essen Aishwaryam Melody,2.5 BHK 1200 Sq.Ft. Apartment in Essen Aishwaryam Melody,Apartment,Pradhikaran,8500000,5,1200,7083.0
87,Pune,"Hinjewadi Phase 2, Pune",Yashwin Hinjewadi,2 BHK + Study Room 760 Sq.Ft. Apartment in Yashwin Hinjewadi,Apartment,Hinjewadi Phase 2,8100000,2,760,10658.0
88,Pune,"Balewadi, Pune",Elite Empire Apartment,3 BHK 1150 Sq.Ft. Apartment in Elite Empire Apartment,Apartment,Balewadi,0,3,1150,0.0
89,Pune,"Wagholi, Pune",Jalan Aura County Pune,1 BHK + Pooja Room 550 Sq.Ft. Apartment in Jalan Aura County Pune,Apartment,Wagholi,4300000,1,550,7818.0
90,Pune,"Vinayak Nagar, Pune",Primespace The Address,3 BHK + Study Room 1223 Sq.Ft. Apartment in Primespace The Address,Apartment,Vinayak Nagar,18000000,3,1223,14718.0
91,Pune,"Madhav Nagar, Pune",Goel Ganga Newtown Phase 2,2.5 BHK 865 Sq.Ft. Apartment in Goel Ganga Newtown Phase 2,Apartment,Madhav Nagar,8500000,5,865,9827.0
92,Pune,"Undri, Pune",Kundan The Landmark,2.5 BHK + Study Room 1250 Sq.Ft. Apartment in Kundan The Landmark,Apartment,Undri,0,5,1250,0.0
93,Pune,"Lohgaon, Pune",Balaji Mesmero,1 BHK 620 Sq.Ft. Apartment in Balaji Mesmero,Apartment,Lohgaon,4000000,1,620,6452.0
94,Pune,"Mundhwa, Pune",Purva Silversands,3 BHK 1057 Sq.Ft. Apartment in Purva Silversands,Apartment,Mundhwa,13200000,3,1057,12488.0
95,Pune,"Koregaon Park Annexe, Pune",Lohia Jain The Reserve,3 BHK 1243 Sq.Ft. Apartment in Lohia Jain The Reserve,Apartment,Koregaon Park Annexe,19000000,3,1243,15286.0
96,Pune,"Manjari, Pune",Shiv Zen World,1 BHK 666 Sq.Ft. Apartment in Shiv Zen World,Apartment,Manjari,4000000,1,666,6006.0
97,Pune,"Gahunje, Pune",Peninsula Address One,1 BHK + Extra Room 395 Sq.Ft. Apartment in Peninsula Address One,Apartment,Gahunje,3500000,1,395,8861.0
98,Pune,"Undri, Pune",Guddwill Elate,2 BHK + Pooja Room 756 Sq.Ft. Apartment in Guddwill Elate,Apartment,Undri,6210000,2,756,8214.0
99,Pune,"Kalyani Nagar, Pune",Nirman Adi,3 BHK 1200 Sq.Ft. Apartment in Nirman Adi,Apartment,Kalyani Nagar,20500000,3,1200,17083.0
100,Pune,"Kharadi, Pune",Goel Ganga Platinum,"3.5 BHK + Pooja Room,Servant Room 2600 Sq.Ft. Apartment in Goel Ganga Platinum",Apartment,Kharadi,27000000,5,2600,10385.0
101,Pune,"Sangavade, Pune",Auti Onkar Greens,1 BHK 520 Sq.Ft. Apartment in Auti Onkar Greens,Apartment,Sangavade,4043570,1,520,7776.0
102,Pune,"Viman Nagar, Pune",Lunkad Greenland,2 BHK 1456 Sq.Ft. Apartment in Lunkad Greenland,Apartment,Viman Nagar,25000000,2,1456,17170.0
103,Pune,"Pashan Sus Road, Pune",Yash Classic,"3 BHK + Pooja Room,Servant Room,Study Room,Extra Room 2197 Sq.Ft. Penthouse in Yash Classic",Penthouse,Pashan Sus Road,25000000,3,2197,11379.0
104,Pune,"Aundh, Pune",Sai Heritage Aundh,3.5 BHK + Pooja Room 1515 Sq.Ft. Apartment in Sai Heritage Aundh,Apartment,Aundh,22500000,5,1515,14851.0
105,Pune,"Yashwant Nagar, Pune",Raja Pittie Kourtyard,5 BHK + Pooja Room 6500 Sq.Ft. Penthouse in Raja Pittie Kourtyard,Penthouse,Yashwant Nagar,55000000,5,6500,8462.0
106,Pune,"Ravet, Pune",Om Tropica,2 BHK + Pooja Room 600 Sq.Ft. Apartment in Om Tropica,Apartment,Ravet,7000000,2,600,11667.0
107,Pune,"Moshi, Pune",Silver Queenstown,2 BHK 694 Sq.Ft. Apartment in Silver Queenstown,Apartment,Moshi,5600000,2,694,8069.0
108,Pune,"Pimple Nilakh, Pune",Shree Sai Apartment Pimple Nilakh,1 BHK 588 Sq.Ft. Apartment in Shree Sai Apartment Pimple Nilakh,Apartment,Pimple Nilakh,5600000,1,588,9524.0
109,Pune,"Tingre Nagar, Pune",Mantra 29 Gold Coast,2 BHK 1100 Sq.Ft. Apartment in Mantra 29 Gold Coast,Apartment,Tingre Nagar,8500000,2,1100,7727.0
110,Pune,"Mundhwa, Pune",Anandtara Iris Residences,2 BHK 850 Sq.Ft. Apartment in Anandtara Iris Residences,Apartment,Mundhwa,9000000,2,850,10588.0
111,Pune,"Hadapsar, Pune",Magarpatta Jasminium,2 BHK + Servant Room 1250 Sq.Ft. Apartment in Magarpatta Jasminium,Apartment,Hadapsar,17000000,2,1250,13600.0
112,Pune,"Thergaon, Pune",Koral Aeternaa,3 BHK 1127 Sq.Ft. Apartment in Koral Aeternaa,Apartment,Thergaon,13500000,3,1127,11979.0
113,Pune,"Wanowrie, Pune",Radiant Paradise,3.5 BHK 2400 Sq.Ft. Penthouse in Radiant Paradise,Penthouse,Wanowrie,18000000,5,2400,7500.0
114,Pune,"Vishrantwadi, Pune",Kumar Samruddhi Society,2 BHK 1200 Sq.Ft. Apartment in Kumar Samruddhi Society,Apartment,Vishrantwadi,11000000,2,1200,9167.0
115,Pune,"Pisoli, Pune",Sky Heights II,2 BHK + Extra Room 1000 Sq.Ft. Apartment in Sky Heights II,Apartment,Pisoli,4500000,2,1000,4500.0
116,Pune,"Viman Nagar, Pune",Naiknavare Mystique Mood,3 BHK 1831 Sq.Ft. Apartment in Naiknavare Mystique Mood,Apartment,Viman Nagar,17500000,3,1831,9558.0
117,Pune,"Aundh, Pune",Royal Orchard,2 BHK + Pooja Room 1040 Sq.Ft. Apartment in Royal Orchard,Apartment,Aundh,11000000,2,1040,10577.0
118,Pune,"Koregaon Park, Pune",Lapis Lazuli Apartment,"5 BHK + Pooja Room,Extra Room 2660 Sq.Ft. Apartment in Lapis Lazuli Apartment",Apartment,Koregaon Park,56000000,5,2660,21053.0
119,Pune,"Kondhwa, Pune",Avnee Bellavista G Building,2 BHK + Servant Room 1000 Sq.Ft. Apartment in Avnee Bellavista G Building,Apartment,Kondhwa,12000000,2,1000,12000.0
120,Pune,"Kothrud, Pune",Saarrthi Success Square,3 BHK + Pooja Room 785 Sq.Ft. Apartment in Saarrthi Success Square,Apartment,Kothrud,25000000,3,785,31847.0
121,Pune,"Hadapsar, Pune",Shapoorji Pallonji Kingstown,4 BHK 1908 Sq.Ft. Apartment in Shapoorji Pallonji Kingstown,Apartment,Hadapsar,24000000,4,1908,12579.0
122,Pune,"Nibm Annexe, Pune",Raichandani Swarna Vatika,2 BHK 640 Sq.Ft. Apartment in Raichandani Swarna Vatika,Apartment,Nibm Annexe,8000000,2,640,12500.0
123,Pune,"Kondhwa, Pune",Sai Niwas Kondhwa,1.5 BHK 560 Sq.Ft. Apartment in Sai Niwas Kondhwa,Apartment,Kondhwa,0,5,560,0.0
124,Pune,"Mamurdi, Pune",Peninsula Address One Phase 6,2 BHK 586 Sq.Ft. Apartment in Peninsula Address One Phase 6,Apartment,Mamurdi,4500000,2,586,7679.0
125,Pune,"Gultekdi, Pune",Omkar Meghdoot Residency,3 BHK + Pooja Room 4300 Sq.Ft. Apartment in Omkar Meghdoot Residency,Apartment,Gultekdi,55000000,3,4300,12791.0
126,Pune,"Wadgaon Sheri, Pune",Kumar Primavera,2 BHK 1050 Sq.Ft. Apartment in Kumar Primavera,Apartment,Wadgaon Sheri,8300000,2,1050,7905.0
127,Pune,"Ashok Nagar, Pune",Rohan 10 Kasturkunj,3 BHK + Extra Room 1750 Sq.Ft. Apartment in Rohan 10 Kasturkunj,Apartment,Ashok Nagar,29000000,3,1750,16571.0
128,Pune,"Hinjewadi, Pune",Paranjape Schemes Blue Ridge,2 BHK + Extra Room 1050 Sq.Ft. Apartment in Paranjape Schemes Blue Ridge,Apartment,Hinjewadi,13400000,2,1050,12762.0
129,Pune,"Gultekdi, Pune",Gagan Signet,2 BHK 903 Sq.Ft. Apartment in Gagan Signet,Apartment,Gultekdi,12500000,2,903,13843.0
130,Pune,"Wagholi, Pune",Suyog Nisarg,2 BHK + Pooja Room 900 Sq.Ft. Apartment in Suyog Nisarg,Apartment,Wagholi,6000000,2,900,6667.0
131,Pune,"Dhayari, Pune",Jairaj Riddhi Siddhi Paradise,1 BHK + Study Room 627 Sq.Ft. Builder Floor in Jairaj Riddhi Siddhi Paradise,Builder Floor,Dhayari,4300000,1,627,6858.0
132,Pune,"Somatane, Pune",Supreme Villagio,4 BHK + Servant Room 3000 Sq.Ft. Villa in Supreme Villagio,Villa,Somatane,27000000,4,3000,9000.0
133,Pune,"Sus, Pune",Teerth Avila,2 BHK 950 Sq.Ft. Apartment in Teerth Avila,Apartment,Sus,9500000,2,950,10000.0
134,Pune,"Katraj, Pune",Dugad Shriniwas Sankul,2 BHK + Pooja Room 905 Sq.Ft. Apartment in Dugad Shriniwas Sankul,Apartment,Katraj,7500000,2,905,8287.0
135,Pune,"Charholi Budruk, Pune",Swastik Prism City Yellow,3 BHK + Extra Room 892 Sq.Ft. Builder Floor in Swastik Prism City Yellow,Builder Floor,Charholi Budruk,6825000,3,892,7651.0
136,Pune,"Shivajinagar, Pune",Shalini Sky,3 BHK 1600 Sq.Ft. Apartment in Shalini Sky,Apartment,Shivajinagar,29000000,3,1600,18125.0
137,Pune,"Wagholi, Pune",Dhavel Shivtirth,2 BHK + Pooja Room 936 Sq.Ft. Apartment in Dhavel Shivtirth,Apartment,Wagholi,4800000,2,936,5128.0
138,Pune,"Rasta Peth, Pune",Anand Vithoba,1 BHK + Pooja Room 441 Sq.Ft. Apartment in Anand Vithoba,Apartment,Rasta Peth,3100000,1,441,7029.0
139,Pune,"Wakad, Pune",Paranjape Trident Towers,1 BHK 455 Sq.Ft. Apartment in Paranjape Trident Towers,Apartment,Wakad,5550000,1,455,12198.0
140,Pune,"Ravet, Pune",Bhoomi Orabelle,2 BHK + Pooja Room 1070 Sq.Ft. Apartment in Bhoomi Orabelle,Apartment,Ravet,8500000,2,1070,7944.0
141,Pune,"Hinjewadi, Pune",Kolte Patil Life Republic,2 BHK + Extra Room 801 Sq.Ft. Apartment in Kolte Patil Life Republic,Apartment,Hinjewadi,7600000,2,801,9488.0
142,Pune,"Bavdhan, Pune",Pebbles I,2 BHK 1050 Sq.Ft. Apartment in Pebbles I,Apartment,Bavdhan,9500000,2,1050,9048.0
143,Pune,"Kharadi, Pune",Duville Riverdale,1 BHK 465 Sq.Ft. Apartment in Duville Riverdale,Apartment,Kharadi,6000000,1,465,12903.0
144,Pune,"Hinjewadi, Pune",Pride Purple Park Astra,3 BHK 900 Sq.Ft. Apartment in Pride Purple Park Astra,Apartment,Hinjewadi,11800000,3,900,13111.0
145,Pune,"Nibm Road, Pune",Lodha Bella Vita,3.5 BHK 1100 Sq.Ft. Apartment in Lodha Bella Vita,Apartment,Nibm Road,13500000,5,1100,12273.0
146,Mumbai,"Gulmohar Colony, Mumbai",Kalpataru Amare,"3 BHK + Servant Room,Study Room 1531 Sq.Ft. Apartment in Kalpataru Amare",Apartment,Gulmohar Colony,89999999,3,1531,58785.0
147,Mumbai,"Wadala West, Mumbai",Dignity Bayview,2 BHK 704 Sq.Ft. Apartment in Dignity Bayview,Apartment,Wadala West,28000000,2,704,39773.0
148,Mumbai,"Ambedkar Colony, Mumbai",Ekta Evaana,3 BHK + Servant Room 1225 Sq.Ft. Apartment in Ekta Evaana,Apartment,Ambedkar Colony,80000000,3,1225,65306.0
149,Mumbai,"Santacruz East, Mumbai",Sanghvi Infenia,2 BHK 727 Sq.Ft. Apartment in Sanghvi Infenia,Apartment,Santacruz East,28000000,2,727,38514.0
